countryname,countrycode,date,c1_schoolclosing,c1_flag,c2_workplaceclosing,c2_flag,c3_cancelpublicevents,c3_flag,c4_restrictionsongatherings,c4_flag,c5_closepublictransport,c5_flag,c6_stayathomerequirements,c6_flag,c7_restrictionsoninternalmovemen,c7_flag,c8_internationaltravelcontrols,e1_incomesupport,e1_flag,e2_debtcontractrelief,e3_fiscalmeasures,e4_internationalsupport,h1_publicinformationcampaigns,h1_flag,h2_testingpolicy,h3_contacttracing,h4_emergencyinvestmentinhealthca,h5_investmentinvaccines,m1_wildcard,confirmedcases,confirmeddeaths,stringencyindex,stringencyindexfordisplay,legacystringencyindex,legacystringencyindexfordisplay
United Kingdom,GBR,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Ghana,GHA,20200102,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Gambia,GMB,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Greece,GRC,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Greenland,GRL,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Guatemala,GTM,20200102,0,,0,,0,,0,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Guam,GUM,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Guyana,GUY,20200102,0,,0,,0,,,,0,,,,0,,0,,,,,,0,,0,0,,0,,,,0,0,0,0
Hong Kong,HKG,20200102,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,2,1,0,0,0,0,,,,13.89,13.89,17.139999,17.139999
Honduras,HND,20200102,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Croatia,HRV,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,,,0,0,,0,0,0,0,0,0
Hungary,HUN,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Indonesia,IDN,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
India,IND,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Ireland,IRL,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Iran,IRN,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Iraq,IRQ,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Iceland,ISL,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Israel,ISR,20200102,0,,0,,0,,0,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Italy,ITA,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Jamaica,JAM,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,,0,0,,,,,,0,0,0,0
Jordan,JOR,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,,,,,,0,0,0,0
Japan,JPN,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Kazakhstan,KAZ,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Kenya,KEN,20200102,0,,0,,0,,,,0,,,,0,,0,0,,0,0,,0,,0,0,0,0,,,,0,0,0,0
Kyrgyz Republic,KGZ,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
South Korea,KOR,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,1,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Kuwait,KWT,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,0,,0,0,0,0,,0,0,0,0,0,0
Laos,LAO,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,0,0,0,,,,0,0,0,0
Lebanon,LBN,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Libya,LBY,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Sri Lanka,LKA,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Lesotho,LSO,20200102,0,,0,,0,,,,0,,,,0,,0,,,,,,0,,0,0,0,0,,,,0,0,0,0
Luxembourg,LUX,20200102,0,,0,,0,,0,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Macao,MAC,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,2,1,0,0,0,0,,,,11.11,11.11,14.29,14.29
Morocco,MAR,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Moldova,MDA,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Madagascar,MDG,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Mexico,MEX,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Mali,MLI,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Myanmar,MMR,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Mongolia,MNG,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,2,1,0,0,0,0,,,,11.11,11.11,14.29,14.29
Mozambique,MOZ,20200102,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Mauritania,MRT,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Mauritius,MUS,20200102,0,,0,,0,,0,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Malawi,MWI,20200102,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Malaysia,MYS,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Namibia,NAM,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Niger,NER,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Nigeria,NGA,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Nicaragua,NIC,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Netherlands,NLD,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Norway,NOR,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
New Zealand,NZL,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,0,0
Oman,OMN,20200102,0,,0,,0,,0,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,,,0,0,0,0,0,0
Pakistan,PAK,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Panama,PAN,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Peru,PER,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Philippines,PHL,20200102,0,,0,,0,,,,0,1,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,3.1700001,3.1700001,0,0
Papua New Guinea,PNG,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Poland,POL,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Puerto Rico,PRI,20200102,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Portugal,PRT,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Paraguay,PRY,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Palestine,PSE,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Qatar,QAT,20200102,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Romania,ROU,20200102,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Russia,RUS,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Rwanda,RWA,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Saudi Arabia,SAU,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Sudan,SDN,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,,0,0,,,,0,0,0,0
Singapore,SGP,20200102,0,,0,,0,,,,0,,,,0,,1,0,,0,0,0,2,1,0,0,0,0,,0,0,13.89,13.89,17.139999,17.139999
Sierra Leone,SLE,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
El Salvador,SLV,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
San Marino,SMR,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,,,0,,0,0,0,0,0,0
Serbia,SRB,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
South Sudan,SSD,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Slovak Republic,SVK,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,1,2,0,0,,,,0,0,0,0
Slovenia,SVN,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Sweden,SWE,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Eswatini,SWZ,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,,0,0,0,,,,,0,0,0,0
Seychelles,SYC,20200102,0,,0,,0,,,,0,1,,,0,,0,,,,0,,0,,0,0,0,0,,,,3.1700001,3.1700001,0,0
Syria,SYR,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Chad,TCD,20200102,0,,0,,0,,,,0,,,,0,,0,,,0,0,,0,,0,0,0,0,,,,0,0,0,0
Thailand,THA,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Trinidad and Tobago,TTO,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Tunisia,TUN,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Turkey,TUR,20200102,0,,0,,0,,,,1,0,,,0,,0,0,,0,0,,0,,0,0,0,0,,,,3.97,3.97,4.7600002,4.7600002
Tanzania,TZA,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Uganda,UGA,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Ukraine,UKR,20200102,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Uruguay,URY,20200102,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,,0,,,,0,0,0,0
United States,USA,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Uzbekistan,UZB,20200102,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Venezuela,VEN,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Vietnam,VNM,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
South Africa,ZAF,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Zambia,ZMB,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Zimbabwe,ZWE,20200102,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Taiwan,TWN,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,1,1,0,0,0,0,,0,0,7.1399999,7.1399999,9.5200005,9.5200005
Kosovo,RKS,20200102,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Aruba,ABW,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Afghanistan,AFG,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Angola,AGO,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Albania,ALB,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Andorra,AND,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
United Arab Emirates,ARE,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Argentina,ARG,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Australia,AUS,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Austria,AUT,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,1,,0,0,,0,0,0,0,0,0
Azerbaijan,AZE,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Burundi,BDI,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Belgium,BEL,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Burkina Faso,BFA,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Bangladesh,BGD,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Bulgaria,BGR,20200103,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Bahrain,BHR,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Belize,BLZ,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,,,0,0,0,0
Bermuda,BMU,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Bolivia,BOL,20200103,0,,0,,0,,,,0,,,,0,,0,,,,,,0,,,,,,,,,0,0,0,0
Brazil,BRA,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Barbados,BRB,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Brunei,BRN,20200103,0,,0,,0,,0,,0,,,,0,,4,0,,0,0,0,0,,0,1,0,0,,,,11.11,11.11,11.43,11.43
Botswana,BWA,20200103,0,,0,,0,,,,0,,,,0,,1,0,,0,0,0,1,1,0,0,0,0,,,,9.9200001,9.9200001,12.38,12.38
Canada,CAN,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,1,0,0,,0,0,0,0,0,0
Switzerland,CHE,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Chile,CHL,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,,,,,0,0,0,0
China,CHN,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,1,1,0,0,,44,0,0,0,0,0
Cameroon,CMR,20200103,0,,0,,0,,,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Democratic Republic of Congo,COD,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Colombia,COL,20200103,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Cape Verde,CPV,20200103,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,20200103,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Cuba,CUB,20200103,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Cyprus,CYP,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Czech Republic,CZE,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Germany,DEU,20200103,0,,0,,0,,0,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Djibouti,DJI,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Dominica,DMA,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,,0,,,,0,0,0,0
Denmark,DNK,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Dominican Republic,DOM,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Algeria,DZA,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Ecuador,ECU,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Egypt,EGY,20200103,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,2,0,0,,0,0,0,0,0,0
Spain,ESP,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Estonia,EST,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Ethiopia,ETH,20200103,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Finland,FIN,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
France,FRA,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Gabon,GAB,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
United Kingdom,GBR,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Ghana,GHA,20200103,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Gambia,GMB,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Greece,GRC,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Greenland,GRL,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Guatemala,GTM,20200103,0,,0,,0,,0,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Guam,GUM,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Guyana,GUY,20200103,0,,0,,0,,,,0,,,,0,,0,,,,,,0,,0,0,,0,,,,0,0,0,0
Hong Kong,HKG,20200103,0,,0,,0,,0,,0,,0,,0,,1,0,,0,0,0,2,1,0,0,0,0,,,,13.89,13.89,17.139999,17.139999
Honduras,HND,20200103,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Croatia,HRV,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,,,0,0,,0,0,0,0,0,0
Hungary,HUN,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Indonesia,IDN,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
India,IND,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Ireland,IRL,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Iran,IRN,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Iraq,IRQ,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Iceland,ISL,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Israel,ISR,20200103,0,,0,,0,,0,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Italy,ITA,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,,0,,0,0,0,0,,0,0,0,0,0,0
Jamaica,JAM,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,,,0,,0,0,,,,,,0,0,0,0
Jordan,JOR,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,,,,,,0,0,0,0
Japan,JPN,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Kazakhstan,KAZ,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Kenya,KEN,20200103,0,,0,,0,,,,0,,,,0,,0,0,,0,0,,0,,0,0,0,0,,,,0,0,0,0
Kyrgyz Republic,KGZ,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
South Korea,KOR,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,1,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Kuwait,KWT,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,,0,,0,0,0,0,,0,0,0,0,0,0
Laos,LAO,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,0,0,0,,,,0,0,0,0
Lebanon,LBN,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Libya,LBY,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Sri Lanka,LKA,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Lesotho,LSO,20200103,0,,0,,0,,,,0,,,,0,,0,,,,,,0,,0,0,0,0,,,,0,0,0,0
Luxembourg,LUX,20200103,0,,0,,0,,0,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Macao,MAC,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,2,1,0,0,0,0,,,,11.11,11.11,14.29,14.29
Morocco,MAR,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Moldova,MDA,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Madagascar,MDG,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Mexico,MEX,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,0,0,0,0,0,0
Mali,MLI,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Myanmar,MMR,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Mongolia,MNG,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,2,1,0,0,0,0,,,,11.11,11.11,14.29,14.29
Mozambique,MOZ,20200103,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Mauritania,MRT,20200103,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Mauritius,MUS,20200103,0,,0,,0,,0,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Malawi,MWI,20200103,0,,0,,0,,,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Malaysia,MYS,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Namibia,NAM,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,,,0,0,0,0
Niger,NER,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Nigeria,NGA,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Nicaragua,NIC,20200103,0,,0,,0,,,,0,,,,0,,0,,,,0,,0,,0,0,0,0,,,,0,0,0,0
Netherlands,NLD,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
Norway,NOR,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0
New Zealand,NZL,20200103,0,,0,,0,,0,,0,,0,,0,,0,0,,0,0,0,0,,,0,0,0,,0,0,0,0,0,0
Oman,OMN,20200103,0,,0,,0,,0,,0,,,,0,,0,0,,0,0,0,0,,0,0,0,,,0,0,0,0,0,0
